Days                ,Latitudes           ,Spans               
55.67796610169492   ,-75.8974358974359   ,16.781056608601833  
24.74576271186441   ,-80.0               ,11.999999821503787  
74.23728813559322   ,-80.0               ,28.953744566178692  
86.61016949152543   ,-75.8974358974359   ,nan                 
123.72881355932205  ,-80.0               ,nan                 
61.864406779661024  ,-80.0               ,19.50637992407697   
204.15254237288136  ,-75.8974358974359   ,nan                 
129.91525423728814  ,-75.8974358974359   ,nan                 
68.05084745762713   ,-80.0               ,23.38665907820473   
290.7627118644068   ,-80.0               ,nan                 
247.4576271186441   ,-80.0               ,nan                 
49.49152542372882   ,-75.8974358974359   ,nan                 
296.9491525423729   ,-80.0               ,nan                 
191.77966101694918  ,-80.0               ,nan                 
204.15254237288136  ,-80.0               ,nan                 
315.5084745762712   ,-80.0               ,nan                 
284.5762711864407   ,-80.0               ,nan                 
148.47457627118644  ,-75.8974358974359   ,nan                 
61.864406779661024  ,-75.8974358974359   ,nan                 
160.84745762711864  ,-75.8974358974359   ,nan                 
278.3898305084746   ,-80.0               ,nan                 
327.8813559322034   ,-80.0               ,nan                 
49.49152542372882   ,-80.0               ,nan                 
68.05084745762713   ,-75.8974358974359   ,nan                 
235.0847457627119   ,-80.0               ,nan                 
365.0               ,-80.0               ,nan                 
6.186440677966102   ,-75.8974358974359   ,nan                 
197.96610169491527  ,-75.8974358974359   ,nan                 
80.42372881355932   ,-75.8974358974359   ,nan                 
43.30508474576271   ,-75.8974358974359   ,nan                 
92.79661016949153   ,-75.8974358974359   ,nan                 
18.559322033898304  ,-75.8974358974359   ,nan                 
74.23728813559322   ,-75.8974358974359   ,nan                 
309.3220338983051   ,-80.0               ,nan                 
303.135593220339    ,-80.0               ,nan                 
340.25423728813564  ,-80.0               ,nan                 
173.22033898305085  ,-80.0               ,nan                 
12.372881355932204  ,-75.8974358974359   ,nan                 
0.0                 ,-75.8974358974359   ,nan                 
321.6949152542373   ,-80.0               ,nan                 
346.4406779661017   ,-80.0               ,nan                 
179.40677966101697  ,-75.8974358974359   ,nan                 
43.30508474576271   ,-80.0               ,nan                 
228.89830508474577  ,-80.0               ,nan                 
167.03389830508476  ,-75.8974358974359   ,nan                 
18.559322033898304  ,-80.0               ,nan                 
24.74576271186441   ,-75.8974358974359   ,nan                 
259.8305084745763   ,-80.0               ,nan                 
80.42372881355932   ,-80.0               ,nan                 
142.28813559322035  ,-80.0               ,nan                 
358.81355932203394  ,-80.0               ,nan                 
334.0677966101695   ,-80.0               ,nan                 
86.61016949152543   ,-80.0               ,nan                 
0.0                 ,-80.0               ,nan                 
37.11864406779661   ,-80.0               ,nan                 
105.16949152542374  ,-80.0               ,nan                 
179.40677966101697  ,-80.0               ,nan                 
30.932203389830512  ,-80.0               ,nan                 
92.79661016949153   ,-80.0               ,nan                 
6.186440677966102   ,-80.0               ,nan                 
222.71186440677968  ,-80.0               ,nan                 
210.33898305084747  ,-80.0               ,nan                 
216.52542372881356  ,-75.8974358974359   ,nan                 
253.6440677966102   ,-80.0               ,nan                 
160.84745762711864  ,-80.0               ,nan                 
154.66101694915255  ,-75.8974358974359   ,nan                 
37.11864406779661   ,-75.8974358974359   ,nan                 
12.372881355932204  ,-80.0               ,nan                 
197.96610169491527  ,-80.0               ,nan                 
191.77966101694918  ,-75.8974358974359   ,nan                 
98.98305084745763   ,-75.8974358974359   ,nan                 
148.47457627118644  ,-80.0               ,nan                 
210.33898305084747  ,-75.8974358974359   ,nan                 
185.59322033898306  ,-80.0               ,nan                 
55.67796610169492   ,-80.0               ,nan                 
111.35593220338984  ,-75.8974358974359   ,nan                 
352.6271186440678   ,-80.0               ,nan                 
105.16949152542374  ,-75.8974358974359   ,nan                 
142.28813559322035  ,-75.8974358974359   ,nan                 
216.52542372881356  ,-80.0               ,nan                 
266.0169491525424   ,-80.0               ,nan                 
241.27118644067798  ,-80.0               ,nan                 
185.59322033898306  ,-75.8974358974359   ,nan                 
111.35593220338984  ,-80.0               ,nan                 
154.66101694915255  ,-80.0               ,nan                 
167.03389830508476  ,-80.0               ,nan                 
173.22033898305085  ,-75.8974358974359   ,nan                 
136.10169491525426  ,-80.0               ,nan                 
117.54237288135594  ,-80.0               ,nan                 
129.91525423728814  ,-80.0               ,nan                 
272.2033898305085   ,-80.0               ,nan                 
136.10169491525426  ,-75.8974358974359   ,nan                 
30.932203389830512  ,-75.8974358974359   ,nan                 
98.98305084745763   ,-80.0               ,nan                 
123.72881355932205  ,-75.8974358974359   ,nan                 
117.54237288135594  ,-75.8974358974359   ,nan                 
222.71186440677968  ,-75.8974358974359   ,nan                 
296.9491525423729   ,-75.8974358974359   ,33.42523038069755   
241.27118644067798  ,-75.8974358974359   ,nan                 
334.0677966101695   ,-71.7948717948718   ,16.078004666844308  
228.89830508474577  ,-75.8974358974359   ,nan                 
253.6440677966102   ,-75.8974358974359   ,nan                 
327.8813559322034   ,-75.8974358974359   ,nan                 
290.7627118644068   ,-75.8974358974359   ,nan                 
284.5762711864407   ,-75.8974358974359   ,nan                 
321.6949152542373   ,-75.8974358974359   ,nan                 
346.4406779661017   ,-75.8974358974359   ,nan                 
334.0677966101695   ,-75.8974358974359   ,nan                 
12.372881355932204  ,-71.7948717948718   ,nan                 
154.66101694915255  ,-71.7948717948718   ,nan                 
6.186440677966102   ,-71.7948717948718   ,nan                 
123.72881355932205  ,-71.7948717948718   ,nan                 
365.0               ,-75.8974358974359   ,nan                 
24.74576271186441   ,-71.7948717948718   ,nan                 
